time,vehicle_id,x,y,speed,lon,lat
66.4,0_55,304.83,4016.75,13.05,9.72023813879485,52.36428491925898
66.5,0_55,305.51,4015.62,13.13,9.720244247338782,52.364278720685675
66.6,0_55,306.18,4014.5,13.09,9.720250266051185,52.36427257696615
66.7,0_55,306.86,4013.37,13.16,9.720256374595117,52.36426637839112
66.8,0_55,307.53,4012.25,13.12,9.720262393307522,52.36426023466988
66.9,0_55,308.21,4011.12,13.07,9.720268501851452,52.36425403609312
67.0,0_55,308.88,4010.0,13.13,9.720274520563855,52.364247892370166
67.1,0_55,309.56,4008.88,13.04,9.720280629107789,52.36424174864635
67.2,0_55,310.23,4007.76,13.07,9.720286647820192,52.36423560492168
67.3,0_55,310.9,4006.64,13.06,9.720292666532595,52.36422946119617
67.4,0_55,311.58,4005.52,13.13,9.720298775076527,52.36422331746979
67.5,0_55,312.26,4004.39,13.16,9.720304883620459,52.364217118887844
67.6,0_55,312.93,4003.27,13.1,9.720310902332862,52.36421097515975
67.7,0_55,313.61,4002.14,13.13,9.720317010876796,52.36420477657608
67.8,0_55,314.28,4001.02,13.05,9.7203230295892,52.364198632846275
67.9,0_55,314.95,3999.9,13.05,9.720329048301602,52.364192489115624
68.0,0_55,315.63,3998.78,13.15,9.720335156845533,52.3641863453841
68.1,0_55,316.31,3997.65,13.17,9.720341265389466,52.364180146796976
68.2,0_55,316.98,3996.53,13.08,9.72034728410187,52.36417400306374
68.3,0_55,317.65,3995.41,13.08,9.72035330281427,52.364167859329655
68.4,0_55,318.33,3994.29,13.08,9.720359411358206,52.36416171559472
68.5,0_55,319.0,3993.16,13.1,9.720365430070608,52.36415551700413
68.6,0_55,319.68,3992.03,13.17,9.72037153861454,52.36414931841268
68.7,0_55,320.36,3990.91,13.16,9.720377647158474,52.36414317467516
68.8,0_55,321.03,3989.79,13.05,9.720383665870877,52.36413703093678
68.9,0_55,321.7,3988.67,13.06,9.72038968458328,52.36413088719755
69.0,0_55,322.38,3987.54,13.12,9.720395793127212,52.364124688602644
69.1,0_55,323.05,3986.42,13.11,9.720401811839617,52.3641185448617
69.2,0_55,323.73,3985.3,13.08,9.720407920383547,52.364112401119904
69.3,0_55,324.4,3984.17,13.12,9.72041393909595,52.3641062025224
69.4,0_55,325.08,3983.05,13.14,9.720420047639884,52.36410005877889
69.5,0_55,325.76,3981.92,13.12,9.720426156183816,52.36409386017964
69.6,0_55,326.43,3980.8,13.14,9.720432174896217,52.36408771643442
69.7,0_55,327.11,3979.68,13.07,9.720438283440153,52.36408157268833
69.8,0_55,327.78,3978.55,13.13,9.720444302152554,52.364075374086504
69.9,0_55,328.45,3977.43,13.05,9.720450320864957,52.3640692303387
70.0,0_55,329.13,3976.31,13.15,9.72045642940889,52.36406308659004
70.1,0_55,329.81,3975.18,13.11,9.720462537952823,52.36405688798562
70.2,0_55,330.5,3974.08,13.05,9.720468736328282,52.36405085394509
70.3,0_55,331.27,3973.01,13.13,9.72047565335597,52.3640449844685
70.4,0_55,332.03,3971.94,13.17,9.72048248055213,52.36403911499114
70.5,0_55,332.8,3970.88,13.08,9.720489397579819,52.36403330036793
70.6,0_55,333.56,3969.82,13.06,9.720496224775978,52.36402748574396
70.7,0_55,334.32,3968.76,13.06,9.720503051972136,52.36402167111922
70.8,0_55,335.09,3967.69,13.13,9.720509968999824,52.364015801638764
70.9,0_55,335.86,3966.63,13.13,9.720516886027513,52.36400998701248
71.0,0_55,336.62,3965.57,13.05,9.72052371322367,52.36400417238545
71.1,0_55,337.38,3964.5,13.1,9.72053054041983,52.36399830290265
71.2,0_55,338.15,3963.44,13.12,9.720537457447517,52.36399248827408
71.3,0_55,338.91,3962.38,13.06,9.720544284643676,52.36398667364474
71.4,0_55,339.68,3961.31,13.11,9.720551201671364,52.363980804159624
71.5,0_55,340.44,3960.25,13.11,9.720558028867524,52.36397498952874
71.6,0_55,341.21,3959.18,13.11,9.720564945895212,52.36396912004208
71.7,0_55,341.98,3958.12,13.17,9.720571862922899,52.36396330540967
71.8,0_55,342.74,3957.06,13.05,9.720578690119059,52.36395749077648
71.9,0_55,343.51,3955.99,13.12,9.720585607146747,52.36395162128749
72.0,0_55,344.27,3954.93,13.09,9.720592434342906,52.36394580665277
72.1,0_55,345.03,3953.87,13.05,9.720599261539064,52.36393999201728
72.2,0_55,345.8,3952.8,13.14,9.720606178566754,52.36393412252597
72.3,0_55,346.56,3951.74,13.04,9.720613005762912,52.36392830788895
72.4,0_55,347.33,3950.68,13.08,9.7206199227906,52.36392249325116
72.5,0_55,348.09,3949.61,13.16,9.72062674998676,52.36391662375752
72.6,0_55,348.86,3948.55,13.12,9.720633667014447,52.36391080911819
72.7,0_55,349.63,3947.48,13.12,9.720640584042133,52.363904939623
72.8,0_55,350.39,3946.42,13.14,9.720647411238293,52.363899124982126
72.9,0_55,351.16,3945.35,13.1,9.720654328265981,52.36389325548539
73.0,0_55,351.93,3944.28,13.15,9.72066124529367,52.36388738598786
73.1,0_55,352.69,3943.22,13.12,9.720668072489827,52.363881571344685
73.2,0_55,353.46,3942.15,13.11,9.720674989517516,52.36387570184562
73.3,0_55,354.22,3941.09,13.07,9.720681816713675,52.363869887200906
73.4,0_55,354.98,3940.03,13.07,9.720688643909835,52.36386407255542
73.5,0_55,355.75,3938.97,13.15,9.720695560937523,52.36385825790918
73.6,0_55,356.52,3937.9,13.09,9.72070247796521,52.36385238840701
